City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Faanui,PF,-16.4833,-151.75,81.73,71,100,12.15,light rain
121,Mitu,CO,1.1983,-70.1733,78.44,93,97,2.15,overcast clouds
122,Lucapa,AO,-8.4192,20.7447,64.58,97,100,1.77,overcast clouds
123,Tasiilaq,GL,65.6145,-37.6368,32.16,91,99,20.49,light snow
124,Namibe,AO,-15.1961,12.1522,73.44,81,92,13.6,overcast clouds
125,Ancud,CL,-41.8697,-73.8203,72.23,67,9,7.94,clear sky
126,Surab,PK,28.4914,66.2585,66.42,38,3,1.86,clear sky
127,Flinders,AU,-34.5833,150.8552,61.18,88,49,4.0,scattered clouds
128,Wajima,JP,37.4,136.9,48.24,70,100,7.7,overcast clouds
129,Jamestown,US,42.097,-79.2353,20.52,58,100,25.32,overcast clouds
130,Rio Gallegos,AR,-51.6226,-69.2181,56.12,33,99,15.52,overcast clouds
131,Farah,AF,32.5,62.5,74.34,29,41,3.98,scattered clouds
132,Chimbote,PE,-9.0853,-78.5783,78.84,65,85,9.26,overcast clouds
133,Bethel,US,41.3712,-73.414,32.52,88,100,13.8,snow
134,Sayat,TM,38.7839,63.8803,64.53,57,98,14.7,overcast clouds
135,Rebrikha,RU,53.0733,82.3408,7.75,88,100,12.41,overcast clouds
136,Torbay,CA,47.6666,-52.7314,38.28,81,71,5.01,broken clouds
137,New Norfolk,AU,-42.7826,147.0587,54.9,98,5,3.09,clear sky
138,Sumbe,AO,-11.2061,13.8437,80.31,79,100,5.79,overcast clouds
139,Ibirataia,BR,-14.0669,-39.6406,89.82,46,35,5.59,scattered clouds
140,Strezhevoy,RU,60.7333,77.5889,-1.79,99,100,5.03,overcast clouds
141,Makat,KZ,47.6469,53.3463,26.94,88,100,10.65,light snow
142,San Patricio,US,28.017,-97.5169,51.93,28,11,10.76,few clouds
143,Zabid,YE,14.1951,43.3152,80.02,64,11,7.2,few clouds
144,Neiafu,TO,-18.65,-173.9833,80.42,77,79,7.02,moderate rain
145,Kismayo,SO,-0.3582,42.5454,78.8,81,20,16.44,few clouds
146,Iqaluit,CA,63.7506,-68.5145,-16.31,68,82,1.99,broken clouds
