City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Cabimas,VE,10.3883,-71.4399,83.79,68,88,9.95,overcast clouds
112,Havelock,US,34.8791,-76.9013,46.92,86,100,18.01,overcast clouds
113,Kapaa,US,22.0752,-159.319,80.11,68,0,10.36,clear sky
114,Inuvik,CA,68.3499,-133.7218,-8.64,70,75,11.5,mist
115,Galveston,US,29.3669,-94.9669,59.09,30,0,12.66,clear sky
116,Bethel,US,41.3712,-73.414,31.5,79,100,21.99,overcast clouds
117,Hirara,JP,24.8,125.2833,69.44,69,6,14.18,clear sky
118,Oboga,RO,44.4167,24.1,31.75,58,7,5.97,clear sky
119,Beitbridge,ZW,-22.2167,30.0,72.64,66,26,7.0,scattered clouds
120,Broome,US,42.2506,-75.833,22.08,75,100,14.97,mist
121,Port Alfred,ZA,-33.5906,26.891,79.09,77,69,13.65,broken clouds
122,Davidson,US,36.1501,-86.7833,32.72,43,0,10.36,clear sky
123,Tokur,RU,53.1333,132.9,-5.98,100,99,2.42,overcast clouds
124,Taoudenni,ML,22.6783,-3.9836,76.06,11,0,9.69,clear sky
125,Ponta Do Sol,PT,32.6667,-17.1,66.06,79,99,9.31,overcast clouds
126,Antofagasta,CL,-23.65,-70.4,67.28,72,5,6.4,clear sky
127,Flinders,AU,-34.5833,150.8552,62.19,90,73,4.0,broken clouds
128,Sorong,ID,-0.8833,131.25,79.38,84,98,5.08,overcast clouds
129,Raver,IN,21.25,76.0333,77.86,19,0,5.28,clear sky
130,Puerto Palomas,MX,31.7667,-107.6167,57.16,18,1,11.63,clear sky
131,Faanui,PF,-16.4833,-151.75,81.95,70,48,13.24,scattered clouds
132,Ende,ID,-8.8432,121.6623,78.17,89,100,2.53,overcast clouds
133,Sangmelima,CM,2.9333,11.9833,69.01,95,100,2.8,light rain
134,Castro,BR,-24.7911,-50.0119,62.65,99,100,6.73,overcast clouds
135,Beringovskiy,RU,63.05,179.3167,4.57,80,3,10.36,clear sky
136,Mayumba,GA,-3.432,10.6554,79.12,88,100,3.91,moderate rain
137,Nome,US,64.5011,-165.4064,24.87,28,0,10.36,clear sky
138,Nanning,CN,22.8167,108.3167,70.25,81,100,7.63,overcast clouds
139,Ankazoabo,MG,-22.2833,44.5167,70.92,86,77,3.74,broken clouds
140,Namuac,PH,18.6109,121.1657,73.31,92,100,12.75,overcast clouds
141,Dudinka,RU,69.4058,86.1778,-24.7,100,46,7.81,scattered clouds
142,Biak,ID,-0.9131,122.8766,76.05,86,98,2.06,overcast clouds
143,Jaque,PA,7.5175,-78.1703,82.09,74,74,3.22,broken clouds
144,Iqaluit,CA,63.7506,-68.5145,-15.07,70,20,0.0,few clouds
145,East London,ZA,-33.0153,27.9116,79.07,78,79,12.82,broken clouds
146,Fare,PF,-16.7,-151.0167,81.36,72,26,12.5,scattered clouds
147,Anadyr,RU,64.75,177.4833,3.7,72,0,8.95,clear sky
148,Gornopravdinsk,RU,60.05,69.9,-7.46,100,95,5.14,overcast clouds
149,Gaborone,BW,-24.6545,25.9086,73.31,64,0,4.61,clear sky
150,Ofaqim,IL,31.3141,34.6203,42.71,64,2,5.35,clear sky
151,Torbay,CA,47.6666,-52.7314,34.29,92,100,25.32,mist
152,Port Elizabeth,ZA,-33.918,25.5701,83.1,76,31,5.77,scattered clouds
153,Cidreira,BR,-30.1811,-50.2056,70.86,62,44,8.32,scattered clouds
154,Tirukkoyilur,IN,11.95,79.2,70.38,74,5,4.92,clear sky
155,Ribeira Grande,PT,38.5167,-28.7,57.6,67,20,2.3,few clouds
156,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,75,13.8,light snow
157,Takoradi,GH,4.8845,-1.7554,80.91,84,81,7.61,broken clouds
158,Kununurra,AU,-15.7667,128.7333,78.78,94,75,0.0,broken clouds
159,Nelson Bay,AU,-32.7167,152.15,66.0,97,77,2.8,light rain
160,Tammisaari,FI,59.9736,23.4339,25.29,89,27,3.69,scattered clouds
161,Yuci,CN,37.6803,112.7319,47.95,87,32,4.47,mist
162,Tuatapere,NZ,-46.1333,167.6833,56.89,70,3,2.91,clear sky
163,Quatis,BR,-22.4072,-44.2581,74.3,87,100,1.01,heavy intensity rain
164,Matadi,CD,-5.8167,13.45,77.27,94,100,2.04,moderate rain
165,Muzhi,RU,65.3667,64.6667,0.72,99,77,5.68,broken clouds
166,Sobolevo,RU,54.4299,31.8996,22.17,97,83,6.55,broken clouds
167,Avera,US,33.194,-82.5271,42.55,31,0,24.4,clear sky
168,Maceio,BR,-9.6658,-35.7353,83.64,69,20,13.8,few clouds
169,Staryy Nadym,RU,65.6118,72.6842,7.07,95,100,12.19,overcast clouds
170,Labuan,MY,5.2767,115.2417,77.36,100,20,2.3,few clouds
171,Qovlar,AZ,40.948,45.735,32.86,71,52,4.99,broken clouds
172,Sault Sainte Marie,CA,46.5168,-84.3333,14.56,62,75,25.32,haze
173,Santa Cruz,BO,-17.8,-63.1667,82.45,51,75,14.97,broken clouds
174,Nombre De Dios,MX,23.85,-104.2333,62.15,13,0,4.36,clear sky
175,Ahipara,NZ,-35.1667,173.1667,71.24,77,99,5.37,overcast clouds
176,Marsh Harbour,BS,26.5412,-77.0636,79.84,72,45,24.34,scattered clouds
177,Asau,RO,46.4333,26.4,29.32,86,99,4.27,overcast clouds
178,Hobyo,SO,5.3505,48.5268,78.35,71,71,14.43,broken clouds
179,Tautira,PF,-17.7333,-149.15,80.24,75,71,9.1,broken clouds
180,Goroka,PG,-6.0834,145.3873,60.58,97,100,1.59,overcast clouds
181,Longyearbyen,SJ,78.2186,15.6401,21.04,73,75,2.3,light snow
182,Lavrentiya,RU,65.5833,-171.0,8.94,75,2,7.58,clear sky
183,Bengkulu,ID,-3.8004,102.2655,76.59,90,100,4.38,light rain
184,Teguise,ES,29.0605,-13.564,61.02,68,20,9.22,few clouds
185,Canazas,PA,8.3167,-81.2167,82.0,59,96,6.73,overcast clouds
186,Fairview,US,40.8126,-73.999,33.03,66,100,40.29,light snow
187,Washougal,US,45.5826,-122.3534,64.49,37,0,5.99,clear sky
188,Namibe,AO,-15.1961,12.1522,74.28,76,98,7.81,overcast clouds
189,Chuy,UY,-33.6971,-53.4616,65.16,62,0,9.4,clear sky
190,Southampton,GB,50.904,-1.4043,51.39,80,100,5.99,overcast clouds
191,Ilhabela,BR,-23.7781,-45.3581,75.63,89,100,8.5,overcast clouds
192,Port Lincoln,AU,-34.7333,135.8667,68.41,61,100,9.44,overcast clouds
193,Pisco,PE,-13.7,-76.2167,77.05,65,0,11.5,clear sky
194,Morant Bay,JM,17.8815,-76.4093,89.71,69,0,9.4,clear sky
195,Gao,ML,16.6362,1.637,79.11,13,3,12.84,clear sky
196,Vuktyl,RU,63.8567,57.3094,20.48,95,100,9.1,light snow
197,Meadow Lake,US,34.8014,-106.5436,55.45,16,0,5.57,clear sky
198,Abu Samrah,SY,35.3029,37.1841,37.65,94,99,8.05,overcast clouds
199,Souillac,MU,-20.5167,57.5167,79.18,94,40,9.22,light rain
200,Fruitvale,US,39.0817,-108.4968,51.73,25,0,3.44,clear sky
201,Dikson,RU,73.5069,80.5464,-10.71,93,100,19.22,overcast clouds
202,Luderitz,NA,-26.6481,15.1594,65.61,89,25,10.6,scattered clouds
203,Norman Wells,CA,65.282,-126.8329,-3.96,59,75,23.02,broken clouds
204,La Asuncion,VE,11.0333,-63.8628,79.14,78,16,21.65,few clouds
